#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
23	114	2	4	0
23	116	2	4	0
23	119	2	4	0
23	127	2	4	0
132	23	2	1	0
134	23	2	1	0
23	139	2	4	0
23	149	2	4	0
23	153	2	4	0
162	23	2	1	0
23	163	2	4	0
23	165	2	4	0
23	168	2	4	0
177	23	2	3	0
23	184	2	4	0
23	187	2	4	0
23	188	2	4	0
23	191	2	4	0
23	205	2	4	0
23	208	2	4	0
23	218	2	4	0
23	219	2	4	0
23	221	2	4	0
23	223	2	4	0
26	24	2	7	0
32	24	2	4	0
38	24	2	9	0
39	24	2	1	0
40	24	2	8	0
42	24	2	14	0
46	24	2	5	0
50	24	2	10	0
52	24	2	7	0
53	24	2	10	0
55	24	2	14	0
57	24	2	4	0
59	24	2	17	0
60	24	2	2	0
61	24	2	2	0
62	24	2	3	0
63	24	2	3	0
66	24	2	2	0
68	24	2	2	0
71	24	2	1	0
76	24	2	4	0
77	24	2	1	0
79	24	2	2	0
81	24	2	1	0
87	24	2	2	0
89	24	2	2	0
90	24	2	2	0
91	24	2	1	0
94	24	2	5	0
95	24	2	3	0
96	24	2	4	0
101	24	2	1	0
106	24	2	2	0
107	24	2	5	0
110	24	2	4	0
115	24	2	4	0
117	24	2	12	0
120	24	2	5	0
126	24	2	4	0
132	24	2	1	0
24	133	2	18	0
135	24	2	1	0
144	24	2	9	0
146	24	2	6	0
147	24	2	1	0
148	24	2	10	0
150	24	2	1	0
152	24	2	10	0
154	24	2	1	0
157	24	2	6	0
158	24	2	1	0
159	24	2	8	0
160	24	2	5	0
170	24	2	10	0
173	24	2	10	0
178	24	2	11	0
180	24	2	7	0
185	24	2	4	0
186	24	2	7	0
189	24	2	9	0
190	24	2	13	0
195	24	2	6	0
197	24	2	9	0
200	24	2	14	0
202	24	2	7	0
204	24	2	2	0
206	24	2	4	0
207	24	2	5	0
210	24	2	10	0
213	24	2	11	0
216	24	2	5	0
217	24	2	8	0
220	24	2	3	0
224	24	2	2	0
225	24	2	13	0
25	27	2	3	0
30	25	2	1	0
25	31	2	3	0
25	37	2	3	0
25	41	2	3	0
25	51	2	3	0
25	54	2	3	0
25	56	2	3	0
25	64	2	3	0
25	65	2	3	0
25	86	2	3	0
25	116	2	3	0
25	118	2	3	0
25	119	2	3	0
25	127	2	3	0
134	25	2	1	0
25	145	2	3	0
25	149	2	3	0
25	151	2	3	0
25	153	2	3	0
162	25	2	1	0
25	168	2	3	0
25	169	2	3	0
25	179	2	3	0
25	181	2	3	0
25	184	2	3	0
25	187	2	3	0
25	188	2	3	0
25	194	2	3	0
25	196	2	3	0
25	201	2	3	0
25	203	2	3	0
25	205	2	3	0
25	208	2	3	0
25	209	2	3	0
25	214	2	3	0
25	215	2	3	0
25	218	2	3	0
25	219	2	3	0
25	223	2	3	0
25	226	2	3	0
26	58	2	7	0
26	59	2	7	0
26	69	2	7	0
71	26	2	1	0
79	26	2	2	0
26	86	2	7	0
90	26	2	2	0
26	133	2	7	0
26	142	2	7	0
150	26	2	1	0
26	153	2	7	0
158	26	2	1	0
26	173	2	7	0
26	176	2	7	0
26	211	2	7	0
30	27	2	1	0
39	27	2	1	0
44	27	2	3	0
47	27	2	3	0
54	27	2	4	0
63	27	2	3	0
70	27	2	6	0
75	27	2	3	0
77	27	2	1	0
81	27	2	1	0
82	27	2	3	0
87	27	2	2	0
89	27	2	2	0
91	27	2	1	0
95	27	2	3	0
101	27	2	1	0
109	27	2	3	0
132	27	2	1	0
134	27	2	1	0
135	27	2	1	0
143	27	2	3	0
147	27	2	1	0
27	149	2	14	0
154	27	2	1	0
162	27	2	1	0
168	27	2	8	0
174	27	2	7	0
175	27	2	4	0
177	27	2	3	0
212	27	2	2	0
39	28	2	1	0
43	28	2	4	0
57	28	2	4	0
60	28	2	2	0
61	28	2	2	0
79	28	2	2	0
81	28	2	1	0
87	28	2	2	0
93	28	2	4	0
110	28	2	4	0
115	28	2	4	0
28	133	2	14	0
138	28	2	6	0
150	28	2	1	0
154	28	2	1	0
28	155	2	14	0
158	28	2	1	0
164	28	2	4	0
174	28	2	7	0
28	176	2	14	0
204	28	2	2	0
220	28	2	3	0
224	28	2	2	0
71	29	2	1	0
77	29	2	1	0
29	86	2	6	0
91	29	2	1	0
29	92	2	6	0
101	29	2	1	0
29	111	2	6	0
29	116	2	6	0
132	29	2	1	0
29	133	2	6	0
135	29	2	1	0
29	139	2	6	0
147	29	2	1	0
29	149	2	6	0
29	153	2	6	0
29	165	2	6	0
29	211	2	6	0
29	219	2	6	0
29	223	2	6	0
30	31	2	1	0
30	33	2	1	0
30	35	2	1	0
30	37	2	1	0
30	41	2	1	0
30	44	2	1	0
30	47	2	1	0
30	48	2	1	0
30	51	2	1	0
30	54	2	1	0
30	56	2	1	0
30	64	2	1	0
30	65	2	1	0
30	70	2	1	0
30	75	2	1	0
30	83	2	1	0
30	85	2	1	0
