#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
127	30	2	6	0
128	30	2	1	0
129	30	2	4	0
131	30	2	5	0
132	30	2	6	0
133	30	2	1	0
134	30	2	2	0
135	30	2	3	0
136	30	2	1	0
137	30	2	2	0
138	30	2	3	0
139	30	2	1	0
140	30	2	3	0
31	35	2	6	0
31	43	2	6	0
31	46	2	6	0
31	67	2	6	0
78	31	2	1	0
82	31	2	1	0
117	31	2	2	0
31	124	2	6	0
32	35	2	12	0
39	32	2	1	0
40	32	2	1	0
50	32	2	1	0
55	32	2	1	0
73	32	2	1	0
101	32	2	3	0
106	32	2	1	0
114	32	2	2	0
128	32	2	1	0
133	32	2	1	0
136	32	2	1	0
139	32	2	1	0
34	33	2	3	0
36	33	2	2	0
41	33	2	5	0
45	33	2	1	0
56	33	2	1	0
60	33	2	3	0
69	33	2	1	0
33	79	2	11	0
95	33	2	2	0
103	33	2	2	0
109	33	2	1	0
110	33	2	2	0
115	33	2	3	0
116	33	2	2	0
119	33	2	2	0
134	33	2	2	0
137	33	2	2	0
36	34	2	2	0
34	37	2	3	0
34	44	2	3	0
34	47	2	3	0
34	48	2	3	0
34	52	2	3	0
56	34	2	1	0
34	57	2	3	0
34	79	2	3	0
34	86	2	3	0
34	90	2	3	0
34	92	2	3	0
34	93	2	3	0
116	34	2	2	0
39	35	2	1	0
40	35	2	1	0
43	35	2	17	0
45	35	2	1	0
46	35	2	15	0
50	35	2	1	0
55	35	2	1	0
62	35	2	20	0
64	35	2	5	0
66	35	2	14	0
69	35	2	1	0
71	35	2	6	0
72	35	2	6	0
73	35	2	1	0
74	35	2	5	0
76	35	2	4	0
78	35	2	1	0
80	35	2	2	0
82	35	2	1	0
83	35	2	2	0
84	35	2	2	0
91	35	2	5	0
99	35	2	8	0
100	35	2	4	0
101	35	2	3	0
102	35	2	7	0
103	35	2	2	0
105	35	2	2	0
106	35	2	1	0
107	35	2	11	0
108	35	2	3	0
109	35	2	1	0
114	35	2	2	0
117	35	2	2	0
118	35	2	2	0
121	35	2	8	0
125	35	2	6	0
128	35	2	1	0
129	35	2	4	0
130	35	2	6	0
133	35	2	1	0
134	35	2	2	0
136	35	2	1	0
137	35	2	2	0
139	35	2	1	0
36	37	2	2	0
36	44	2	2	0
36	47	2	2	0
36	48	2	2	0
36	52	2	2	0
36	53	2	2	0
36	57	2	2	0
36	79	2	2	0
36	86	2	2	0
36	90	2	2	0
36	92	2	2	0
36	93	2	2	0
36	96	2	2	0
36	113	2	2	0
36	115	2	2	0
45	37	2	1	0
48	37	2	6	0
50	37	2	1	0
52	37	2	10	0
53	37	2	8	0
54	37	2	2	0
55	37	2	1	0
56	37	2	1	0
57	37	2	7	0
69	37	2	1	0
73	37	2	1	0
86	37	2	4	0
93	37	2	6	0
96	37	2	5	0
101	37	2	3	0
103	37	2	2	0
106	37	2	1	0
109	37	2	1	0
113	37	2	5	0
114	37	2	2	0
115	37	2	3	0
116	37	2	2	0
122	37	2	2	0
128	37	2	1	0
129	37	2	4	0
134	37	2	2	0
137	37	2	2	0
39	38	2	1	0
40	38	2	1	0
41	38	2	5	0
42	38	2	2	0
51	38	2	7	0
59	38	2	7	0
60	38	2	3	0
94	38	2	4	0
95	38	2	2	0
97	38	2	6	0
98	38	2	4	0
110	38	2	2	0
119	38	2	2	0
120	38	2	5	0
133	38	2	1	0
135	38	2	3	0
136	38	2	1	0
138	38	2	3	0
139	38	2	1	0
140	38	2	3	0
39	43	2	1	0
39	46	2	1	0
39	61	2	1	0
39	90	2	1	0
39	102	2	1	0
39	121	2	1	0
39	124	2	1	0
40	43	2	1	0
40	46	2	1	0
40	61	2	1	0
40	62	2	1	0
40	64	2	1	0
40	65	2	1	0
40	80	2	1	0
40	85	2	1	0
40	87	2	1	0
40	90	2	1	0
40	102	2	1	0
40	104	2	1	0
40	107	2	1	0
40	111	2	1	0
40	121	2	1	0
40	124	2	1	0
40	130	2	1	0
40	132	2	1	0
40	140	2	1	0
41	44	2	5	0
41	47	2	5	0
41	49	2	5	0
41	51	2	5	0
41	58	2	5	0
41	59	2	5	0
60	41	2	3	0
41	79	2	5	0
95	41	2	2	0
119	41	2	2	0
42	44	2	2	0
42	47	2	2	0
42	49	2	2	0
42	51	2	2	0
42	58	2	2	0
42	59	2	2	0
42	79	2	2	0
42	89	2	2	0
42	92	2	2	0
42	94	2	2	0
42	97	2	2	0
42	98	2	2	0
42	104	2	2	0
42	120	2	2	0
42	124	2	2	0
55	43	2	1	0
73	43	2	1	0
78	43	2	1	0
80	43	2	2	0
82	43	2	1	0
101	43	2	3	0
106	43	2	1	0
117	43	2	2	0
128	43	2	1	0
130	43	2	6	0
133	43	2	1	0
136	43	2	1	0
139	43	2	1	0
49	44	2	8	0
50	44	2	1	0
51	44	2	7	0
56	44	2	1	0
58	44	2	8	0
59	44	2	7	0
60	44	2	3	0
86	44	2	4	0
94	44	2	4	0
95	44	2	2	0
97	44	2	6	0
98	44	2	4	0
109	44	2	1	0
110	44	2	2	0
115	44	2	3	0
116	44	2	2	0
119	44	2	2	0
120	44	2	5	0
122	44	2	2	0
135	44	2	3	0
138	44	2	3	0
45	46	2	1	0
45	67	2	1	0
45	79	2	1	0
45	81	2	1	0
45	88	2	1	0
45	90	2	1	0
45	103	2	1	0
45	104	2	1	0
45	105	2	1	0
45	107	2	1	0
45	112	2	1	0
45	123	2	1	0
45	125	2	1	0
45	129	2	1	0
45	131	2	1	0
45	132	2	1	0
45	134	2	1	0
45	137	2	1	0
55	46	2	1	0
69	46	2	1	0
73	46	2	1	0
78	46	2	1	0
80	46	2	2	0
82	46	2	1	0
103	46	2	2	0
106	46	2	1	0
109	46	2	1	0
117	46	2	2	0
129	46	2	4	0
130	46	2	6	0
133	46	2	1	0
134	46	2	2	0
136	46	2	1	0
137	46	2	2	0
139	46	2	1	0
48	47	2	6	0
49	47	2	8	0
50	47	2	1	0
51	47	2	7	0
56	47	2	1	0
58	47	2	8	0
59	47	2	7	0
60	47	2	3	0
86	47	2	4	0
92	47	2	12	0
